,Inverter 1 Total input power (kW),Inverter 1 PV1 input current(A),Inverter 1 PV1 input voltage(V),Inverter 1 PV2 input current(A),Inverter 1 PV2 input voltage(V),Inverter 1 PV3 input current(A),Inverter 1 PV3 input voltage(V),Inverter 1 PV4 input current(A),Inverter 1 PV4 input voltage(V),Inverter 1 PV5 input current(A),Inverter 1 PV5 input voltage(V),Inverter 1 PV6 input current(A),Inverter 1 PV6 input voltage(V),Inverter 1 PV7 input current(A),Inverter 1 PV7 input voltage(V),Inverter 1 PV8 input current(A),Inverter 1 PV8 input voltage(V),Inverter 2 Total input power (kW),Inverter 2 PV1 input current(A),Inverter 2 PV1 input voltage(V),Inverter 2 PV2 input current(A),Inverter 2 PV2 input voltage(V),Inverter 2 PV3 input current(A),Inverter 2 PV3 input voltage(V),Inverter 2 PV4 input current(A),Inverter 2 PV4 input voltage(V),Inverter 2 PV5 input current(A),Inverter 2 PV5 input voltage(V),Inverter 2 PV6 input current(A),Inverter 2 PV6 input voltage(V),Inverter 2 PV7 input current(A),Inverter 2 PV7 input voltage(V),Inverter 2 PV8 input current(A),Inverter 2 PV8 input voltage(V)
2024-09-01 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-01 00:05:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-01 00:10:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-01 00:15:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-01 00:20:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-01 00:25:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-01 00:30:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-01 00:35:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-01 00:40:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-01 00:45:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-01 00:50:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-01 00:55:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-01 01:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-01 01:05:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-01 01:10:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-01 01:15:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-01 01:20:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-01 01:25:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-01 01:30:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-01 01:35:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-01 01:40:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-01 01:45:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-01 01:50:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-01 01:55:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-01 02:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-01 02:05:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-01 02:10:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-01 02:15:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-01 02:20:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-01 02:25:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-01 02:30:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-01 02:35:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-01 02:40:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-01 02:45:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-01 02:50:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-01 02:55:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-01 03:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-01 03:05:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-01 03:10:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-01 03:15:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-01 03:20:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-01 03:25:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-01 03:30:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
